annotation_id,canonical_event_key,source_url,issuer,event_type,signal_variant,event_timestamp,trade_date_override,region,mw_value,contract_term_years,take_or_pay_pct,tariff_type,cost_recovery,capex_mention,directional_label,source_confidence,analyst_confidence,evidence_snippet,notes
1,AEP::ohio_tariff::2025-07-31,https://www.aep.com/news/stories/view/10327/,AEP,tariff_or_special_rate_approval,approved_tariff_with_minimums,2025-07-31T00:00:00-04:00,,PJM,25,12,85,ohio_large_load_tariff,minimum_bill_exit_fee,infrastructure_cost_recovery,positive,3,3,"Approved AEP Ohio plan requires large new data center customers to pay for a minimum of 85% of subscribed energy over a 12-year term including a 4-year ramp.","High-confidence approved tariff event."
2,AEP::ohio_tariff::2025-07-31,https://docs.aep.com/docs/newsroom/resources/earnings/2026-02/4Q25EarningsReleasePresentation.pdf,AEP,tariff_or_special_rate_approval,approved_tariff_with_minimums,2025-07-31T00:00:00-04:00,,PJM,25,12,85,ohio_large_load_tariff,minimum_bill_exit_fee,infrastructure_cost_recovery,positive,2,2,"AEP's 4Q25 deck corroborates the approved Ohio structure: 25 MW threshold, 12-year contract period, and 85% minimum demand charge.","Corroborating source for the same AEP Ohio tariff event."
3,AEP::ai_load_growth::2026-02-13,https://docs.aep.com/docs/newsroom/resources/earnings/2026-02/4Q25EarningsReleasePresentation.pdf,AEP,pipeline_mw_increase,company_load_forecast,2026-02-13T00:00:00-05:00,,PJM,,,,,,,positive,2,2,"Commercial load driven by AI-driven data center demand is anticipated to be the largest component of retail load growth, supported by existing and future customer financial agreements.","Read-through from earnings deck rather than a single named contract."
4,FE::transmission_capex_datacenter::2025-10-22,https://investors.firstenergycorp.com/investor-materials/news-releases/news-details/2025/FirstEnergy-Announces-Third-Quarter-2025-Financial-Results/default.aspx,FE,transmission_or_interconnection_approval,transmission_capex_growth,2025-10-22T16:20:00-04:00,,PJM,,,,,,"30% future transmission investment growth; 2025 investment program $5.5B",positive,2,2,"FirstEnergy projected a 30% increase in future transmission investments and said proliferation of large data center load is transforming the industry and creating a need for additional transmission capital investments.","Management commentary and capex guidance, not a formal approval docket."
5,ETR::hut8_large_load_contract::2025-12-17,https://www.entergy.com/news/hut-8-selects-entergy-southeast-louisiana-for-10-billion-artificial-intelligence-data-center,ETR,signed_large_load_contract,named_large_load_contract,2025-12-17T00:00:00-06:00,,MISO,330,,,,,,positive,3,3,"Entergy Louisiana will provide an initial 330 megawatts of utility capacity to support 245 MW of critical IT load for Fluidstack at the Hut 8 AI data center campus.","Clear named large-load contract signal."
6,ETR::data_center_agreements_savings::2026-03-05,https://www.entergy.com/news/5b-in-customer-savings-delivered-by-data-center-agreements-issues-fair-share-plus-pledge,ETR,signed_large_load_contract,customer_savings_framework,2026-03-05T00:00:00-06:00,,MISO,,,,,customer_savings_signal,,positive,2,2,"Entergy announced approximately $5 billion in total savings for 2.3 million customers because of data center customer agreements in Arkansas, Louisiana, and Mississippi.","Agreement economics signal, but not tied to one named campus."
7,IDA::substation_allowance::2025-01-15,https://www.idahopower.com/about-us/economic-development/substation-allowance/,IDA,tariff_or_special_rate_approval,approved_infrastructure_incentive,2025-01-15T00:00:00-07:00,,ID,,,,substation_allowance,,"$99,826 per MW",positive,2,2,"Idaho Power says the maximum substation allowance is the actual increase in load multiplied by $99,826 per MW, not to exceed the actual cost of substation facilities.","Program page rather than a one-off corporate announcement."
8,PNW::large_load_rate_adjustment::2025-06-13,https://www.pinnaclewest.com/newsroom/company-news/news-release-details/2025/APS-Requests-Rate-Adjustment-to-Support-Reliable-Service-for-Customers/default.aspx,PNW,tariff_or_special_rate_approval,proposed_rate_design,2025-06-13T00:00:00-07:00,,AZ,,,,rate_design_update,,,positive,1,2,"APS proposed rate design elements so new customers such as large data centers pay what it costs to serve their high electricity needs without shifting costs to existing customers.","Regulatory filing request, not yet approved."
9,POR::data_center_load_growth_q2::2025-07-25,https://investors.portlandgeneral.com/node/20406/pdf,POR,pipeline_mw_increase,company_load_forecast,2025-07-25T05:00:00-07:00,,OR,,,,,,,positive,2,2,"Second quarter financial results reflect significant demand growth from data center customers, driving 16.5% industrial load growth quarter-over-quarter.","Snippet validated manually via curl and pypdf because requests timed out in the collector."
10,AEP::pjm_large_load_forecast::2026-01-08,https://insidelines.pjm.com/2025-year-in-review-planning-prepares-for-burgeoning-electricity-demand/,AEP,pipeline_mw_increase,regional_grid_readthrough,2026-01-08T00:00:00-05:00,,PJM,30000,,,,,,positive,1,1,"PJM said electricity demand from data center growth is projected to grow up to about 30 GW between 2025 and 2030.","Regional read-through mapped to AEP's PJM exposure."
11,FE::pjm_large_load_forecast::2026-01-08,https://insidelines.pjm.com/2025-year-in-review-planning-prepares-for-burgeoning-electricity-demand/,FE,pipeline_mw_increase,regional_grid_readthrough,2026-01-08T00:00:00-05:00,,PJM,30000,,,,,,positive,1,1,"PJM said electricity demand from data center growth is projected to grow up to about 30 GW between 2025 and 2030.","Regional read-through mapped to FirstEnergy's PJM exposure."
12,AEP::retail_load_growth_forecast::2025-05-06,https://docs.aep.com/docs/newsroom/resources/earnings/2025-05/1Q25EarningsReleasePresentation.pdf,AEP,pipeline_mw_increase,company_load_forecast,2025-05-06T00:00:00-04:00,,PJM,,,,,,,positive,2,2,"AEP said annual retail load growth of 8%-9% in the 2025-2027 forecast period would add more than 52 million MWh to retail sales, driven by economic development.","Company-specific load-growth outlook."
13,AEP::contracted_incremental_load::2025-10-30,https://docs.aep.com/docs/newsroom/resources/earnings/2025-10/3Q25EarningsReleasePresentation.pdf,AEP,pipeline_mw_increase,contracted_load_backlog,2025-10-30T00:00:00-04:00,,PJM,28000,,,,,"$72B 5-year capital plan",positive,3,3,"AEP projected 28 GW of incremental contracted load from 2025-2030 backed by signed Electric Service Agreements or Letters of Agreement, alongside a $72B five-year capital plan.","High-signal contracted-load disclosure."
14,FE::load_study_requests_tripled::2024-10-29,https://investors.firstenergycorp.com/files/doc_financials/2024/q3/3Q24_FE-Highlights.pdf,FE,pipeline_mw_increase,early_pipeline_signal,2024-10-29T00:00:00-04:00,,PJM,,,,,,,positive,2,2,"FirstEnergy said load study requests of 500MW+ in its footprint had more than tripled versus 2023 as data center and AI electricity demand accelerated.","Study-request pipeline signal rather than a named contract."
15,ETR::pipeline_12gw_power_island::2025-10-29,https://s201.q4cdn.com/714390239/files/doc_financials/2025/q3/3Q25-Presentation.pdf,ETR,pipeline_mw_increase,pipeline_capacity_expansion,2025-10-29T00:00:00-05:00,,MISO,12000,,,,,"4.5 GW of power island equipment",positive,2,2,"Entergy increased its data center pipeline to 7 GW to 12 GW and secured an additional 4.5 GW of power island equipment for large growth opportunities.","Strategic pipeline expansion with supporting equipment capacity."
16,PNW::data_center_demand_wave::2025-02-25,https://www.pinnaclewest.com/newsroom/company-news/news-release-details/2025/Pinnacle-West-Reports-2024-Full-Year-and-Fourth-Quarter-Results/default.aspx,PNW,pipeline_mw_increase,company_load_forecast,2025-02-25T00:00:00-07:00,,AZ,,,,,,,positive,2,2,"Pinnacle West said expanding data center operations and new semiconductor plants were triggering a historic wave of electricity demand in Arizona.","Utility-specific demand acceleration disclosure."
17,PNW::large_data_center_sales_growth::2025-11-03,https://s22.q4cdn.com/464697698/files/doc_financials/2025/q3/Q3_2025_Earnings_Final.pdf,PNW,pipeline_mw_increase,company_load_forecast,2025-11-03T00:00:00-07:00,,AZ,,,,,,,positive,2,2,"Pinnacle West's 3Q25 presentation said weather-normalized retail electricity sales growth includes a 3%-5% contribution from new large manufacturing facilities and several large data centers.","Explicit large-data-center contribution to sales growth."
18,IDA::irp_load_forecast_2025::2025-02-20,https://s26.q4cdn.com/720254477/files/doc_financials/2024/q4/2024-Q4-IDACORP-Conference-Call-Slides-FINAL.pdf,IDA,pipeline_mw_increase,company_load_forecast,2025-02-20T16:30:00-05:00,,ID,,,,,,"2025-2029 capex forecast includes transmission and new capacity build",positive,2,2,"IDACORP's 2025 IRP load forecast showed 8.3% annual retail sales growth and 5.1% annual peak-demand growth, with a step-up in transmission and new-capacity capital spending.","Company-level IRP growth signal."
19,AEP::contracted_incremental_load_56gw::2026-02-13,https://docs.aep.com/docs/newsroom/resources/earnings/2026-02/4Q25EarningsReleasePresentation.pdf,AEP,pipeline_mw_increase,contracted_load_backlog,2026-02-13T00:00:00-05:00,,PJM,56000,,,,,"$72B capital plan",positive,3,3,"AEP said continued load growth is supported by 56 GW of incremental contracted load by 2030, all backed by signed customer agreements, up from 28 GW previously.","Higher-quality contracted backlog update from the 4Q25 deck; same-day overlap will be deduped in strategy windows."
20,POR::data_center_load_growth_q3::2024-10-25,https://investors.portlandgeneral.com/news-releases/news-release-details/portland-general-electric-announces-third-quarter-2024-results,POR,pipeline_mw_increase,company_load_forecast,2024-10-25T05:00:00-04:00,,OR,,,,,,,positive,3,3,"Third quarter results reflect continued robust demand growth from high-tech and data center customers, with revenues benefiting from semiconductor manufacturing and technology infrastructure demand.","Validated via official IR page lines captured in web open after collector timeout."
21,POR::data_center_load_growth_q1::2025-04-25,https://investors.portlandgeneral.com/news-releases/news-release-details/portland-general-electric-announces-first-quarter-2025-results,POR,pipeline_mw_increase,company_load_forecast,2025-04-25T05:00:00-04:00,,OR,,,,,,,positive,3,3,"First quarter financial results reflect strong energy demand from high-tech and data centers, driving 4.6% total load growth and 16.4% industrial load growth.","Validated via official IR page lines captured in web open after collector timeout."
22,BKH::meta_wyoming_contract::2024-07-11,https://ir.blackhillscorp.com/news-releases/news-release-details/black-hills-corp-power-metas-new-data-center-wyoming-innovative/,BKH,signed_large_load_contract,named_large_load_contract,2024-07-11T16:15:00-04:00,,SPP,,,,large_power_contract_service,,"data center business contributes 5% of EPS today; ~10% over five years",positive,3,3,"Black Hills said it will partner with Meta to provide power for its newest data center in Cheyenne, Wyoming under its Large Power Contract Service tariff and customized energy resources model.","High-confidence named customer agreement from the issuer IR site."
23,BKH::ready_wyoming_transmission::2025-01-15,https://ir.blackhillscorp.com/news-releases/news-release-details/black-hills-corp-energizes-first-phase-its-ready-wyoming/,BKH,transmission_or_interconnection_approval,transmission_capex_growth,2025-01-15T16:42:00-05:00,,SPP,,,,transmission_rider,,"260-mile transmission expansion; over $100 million of Wyoming economic benefit",positive,3,3,"Black Hills said its approximately 260-mile Ready Wyoming transmission project will support current and growing energy needs, including data centers, while reducing dependence on third-party transmission systems.","Transmission-scale infrastructure event tied directly to data-center demand."
24,BKH::data_center_pipeline_1gw::2025-02-05,https://ir.blackhillscorp.com/news-releases/news-release-details/black-hills-corp-reports-2024-fourth-quarter-and-full-year,BKH,pipeline_mw_increase,pipeline_capacity_expansion,2025-02-05T16:16:00-05:00,,SPP,1000,,,,,"$4.7 billion capital forecast for 2025-2029",positive,3,3,"Black Hills said it has a pipeline of data center demand exceeding one gigawatt from existing customers, with approximately 500 megawatts expected to be served by year-end 2029 through its innovative tariff.","Direct pipeline expansion disclosure from full-year results."
25,ETR::meta_northeast_louisiana_contract::2024-12-05,https://www.entergy.com/news/meta-selects-northeast-louisiana-as-site-10-billion-data-center,ETR,signed_large_load_contract,named_large_load_contract,2024-12-05T00:00:00-06:00,,MISO,1500,,,,,"at least 1,500 MW of new renewable energy through Geaux Zero",positive,3,3,"Entergy said Meta will build a $10 billion artificial intelligence data center in northeast Louisiana and work with Entergy to bring at least 1,500 MW of new renewable energy to the grid.","Named hyperscaler project with explicit scale and infrastructure commitments."
26,FE::central_ohio_transmission_approval::2026-02-16,https://investors.firstenergycorp.com/investor-materials/news-releases/news-details/2026/FirstEnergy-Transmission-and-Transource-Energy-Joint-Venture-Receive-Approval-for-Major-Electric-Transmission-Project-in-Central-Ohio/default.aspx,FE,transmission_or_interconnection_approval,transmission_capex_growth,2026-02-16T09:00:00-05:00,,PJM,,,,,,">300 miles of new 765-kV lines plus new substations and upgrades",positive,3,3,"FirstEnergy said regulators approved a major central Ohio transmission project that includes more than 300 miles of new 765-kV lines, new substations and upgrades to support data center development.","High-confidence transmission buildout approval tied directly to data-center load."
27,FE::pjm_awarded_transmission_projects::2026-03-02,https://investors.firstenergycorp.com/investor-materials/news-releases/news-details/2026/FirstEnergy-Transmission-Awarded-Projects-by-PJM-Interconnection-to-Enhance-Reliability-and-Address-Rising-Customer-Demand/default.aspx,FE,transmission_or_interconnection_approval,transmission_capex_growth,2026-03-02T11:22:00-05:00,,PJM,,,,,,">$950 million by 2029 and over 200 miles of new 765-kV lines",positive,3,3,"FirstEnergy said PJM awarded projects expected to drive more than $950 million of investment by 2029, including over 200 miles of new 765-kV lines to address rising demand from data centers and electrification.","PJM-awarded transmission capex tied explicitly to large-load growth."
28,ETR::google_arkansas_contract::2025-10-02,https://www.entergy.com/news/entergy-arkansas-powers-googles-4b-investment-in-the-state,ETR,signed_large_load_contract,named_large_load_contract,2025-10-02T22:01:12+00:00,,MISO,600,,,,"full_cost_to_serve_no_cost_shift","600 MW solar project backed by 350 MW battery",positive,3,3,"Entergy said Google will cover the full energy costs associated with its $4 billion Arkansas facility, generating more than $1.1 billion in net benefits for customers and supporting a new 600 MW solar project backed by a 350 MW battery system.","Named hyperscaler contract with explicit no-cost-shift economics."
29,ETR::meta_richland_lpsc_approval::2025-08-20,https://www.entergy.com/news/entergy-louisiana-receives-lpsc-approval-for-major-infrastructure-investments-to-support-metas-data-center-and-improve-reliability,ETR,transmission_or_interconnection_approval,transmission_capex_growth,2025-08-20T18:28:19+00:00,,MISO,1500,,,,"meta_pays_share","three new combined-cycle units, new transmission facilities, and up to 1,500 MW solar",positive,3,3,"Entergy Louisiana said the LPSC approved major infrastructure investments for Meta's Richland Parish data center, including three new generation facilities, new transmission assets, and authorization to procure up to 1,500 MW of solar resources while Meta pays its share of infrastructure costs.","Regulatory approval that converts a hyperscaler project into approved generation and transmission buildout."
